7 1	 67   6.669714e+02   5.319803e-06
7 1	 68   6.669757e+02   5.088541e-06
7 1	 69   6.669799e+02   4.870491e-06
7 1	 70   6.669839e+02   4.664723e-06
7 1	 71   6.669877e+02   4.470385e-06
7 1	 72   6.669913e+02   4.286694e-06
7 1	 73   6.669948e+02   4.112931e-06
7 1	 74   6.669982e+02   3.948433e-06
7 1	 75   6.670014e+02   3.792593e-06
7 1	 76   6.670045e+02   3.644846e-06
7 1	 77   6.670075e+02   3.504675e-06
7 1	 78   6.670103e+02   3.371601e-06
7 1	 79   6.670131e+02   3.245179e-06
7 1	 80   6.670158e+02   3.125000e-06
7 1	 81   6.670183e+02   3.010682e-06
7 1	 82   6.670208e+02   2.901873e-06
7 1	 83   6.670232e+02   2.798245e-06
7 1	 84   6.670255e+02   2.699492e-06
7 1	 85   6.670277e+02   2.605333e-06
7 1	 86   6.670298e+02   2.515502e-06
7 1	 87   6.670319e+02   2.429754e-06
7 1	 88   6.670339e+02   2.347859e-06
7 1	 89   6.670358e+02   2.269603e-06
7 1	 90   6.670376e+02   2.194787e-06
7 1	 91   6.670394e+02   2.123224e-06
7 1	 92   6.670412e+02   2.054738e-06
7 1	 93   6.670429e+02   1.989167e-06
7 1	 94   6.670445e+02   1.926355e-06
7 1	 95   6.670461e+02   1.866161e-06
7 1	 96   6.670476e+02   1.808449e-06
7 1	 97   6.670491e+02   1.753092e-06
7 1	 98   6.670505e+02   1.699972e-06
7 1	 99   6.670519e+02   1.648976e-06
7 1	100   6.670533e+02   1.600000e-06
8 1	  6   8.473111e+02   7.407407e-03
8 1	  7   8.537339e+02   4.664723e-03
8 1	  8   8.579025e+02   3.125000e-03
8 1	  9   8.607605e+02   2.194787e-03
8 1	 10   8.628048e+02   1.600000e-03
8 1	 11   8.643174e+02   1.202104e-03
8 1	 12   8.654678e+02   9.259259e-04
8 1	 13   8.663631e+02   7.282658e-04
8 1	 14   8.670735e+02   5.830904e-04
8 1	 15   8.676466e+02   4.740741e-04
8 1	 16   8.681156e+02   3.906250e-04
8 1	 17   8.685044e+02   3.256666e-04
8 1	 18   8.688301e+02   2.743484e-04
8 1	 19   8.691058e+02   2.332702e-04
8 1	 20   8.693412e+02   2.000000e-04
8 1	 21   8.695438e+02   1.727675e-04
8 1	 22   8.697193e+02   1.502630e-04
8 1	 23   8.698725e+02   1.315032e-04
8 1	 24   8.700069e+02   1.157407e-04
8 1	 25   8.701256e+02   1.024000e-04
8 1	 26   8.702308e+02   9.103323e-05
8 1	 27   8.703245e+02   8.128842e-05
8 1	 28   8.704084e+02   7.288630e-05
8 1	 29   8.704837e+02   6.560335e-05
8 1	 30   8.705516e+02   5.925926e-05
8 1	 31   8.706131e+02   5.370750e-05
8 1	 32   8.706689e+02   4.882813e-05
8 1	 33   8.707197e+02   4.452236e-05
8 1	 34   8.707661e+02   4.070832e-05
8 1	 35   8.708086e+02   3.731778e-05
8 1	 36   8.708475e+02   3.429355e-05
8 1	 37   8.708834e+02   3.158747e-05
8 1	 38   8.709165e+02   2.915877e-05
8 1	 39   8.709470e+02   2.697281e-05
8 1	 40   8.709753e+02   2.500000e-05
8 1	 41   8.710015e+02   2.321499e-05
8 1	 42   8.710259e+02   2.159594e-05
8 1	 43   8.710487e+02   2.012401e-05
8 1	 44   8.710698e+02   1.878287e-05
8 1	 45   8.710896e+02   1.755830e-05
8 1	 46   8.711081e+02   1.643791e-05
8 1	 47   8.711255e+02   1.541084e-05
8 1	 48   8.711417e+02   1.446759e-05
8 1	 49   8.711570e+02   1.359978e-05
8 1	 50   8.711714e+02   1.280000e-05
8 1	 51   8.711849e+02   1.206173e-05
8 1	 52   8.711977e+02   1.137915e-05
8 1	 53   8.712097e+02   1.074713e-05
8 1	 54   8.712211e+02   1.016105e-05
8 1	 55   8.712319e+02   9.616829e-06
8 1	 56   8.712421e+02   9.110787e-06
8 1	 57   8.712518e+02   8.639635e-06
8 1	 58   8.712609e+02   8.200418e-06
8 1	 59   8.712696e+02   7.790475e-06
8 1	 60   8.712779e+02   7.407407e-06
8 1	 61   8.712858e+02   7.049048e-06
8 1	 62   8.712933e+02   6.713437e-06
8 1	 63   8.713004e+02   6.398797e-06
8 1	 64   8.713072e+02   6.103516e-06
8 1	 65   8.713137e+02   5.826127e-06
8 1	 66   8.713199e+02   5.565295e-06
8 1	 67   8.713259e+02   5.319803e-06
8 1	 68   8.713315e+02   5.088541e-06
8 1	 69   8.713369e+02   4.870491e-06
8 1	 70   8.713421e+02   4.664723e-06
8 1	 71   8.713471e+02   4.470385e-06
8 1	 72   8.713519e+02   4.286694e-06
