S	16 2 1	f	5.10150	a?	0.		0.
S	16 2 2	i=xy	5.06482	m	0.		0.
S	16 2 3	r	5.03873	mv	6.72e13		7.67e-01
S	16 2 4	b	4.29915	mv	1.84e13		1.53e-01
S	16 2 5	c	4.0885	v	7.59e12		5.71e-02
S	16 2 6	d	3.9978	v	3.84e12		2.76e-02
S	16 2 7	e	3.9501	v	2.19e12		1.54e-02
S	16 2 8	f	3.9219	v	1.38e12		9.57e-03
S	16 2 9	rrc 	3.8459	a	0.		0.

Ar	18 1 1	a	3.7329	v	6.64e13		4.16e-01
Ar	18 1 2	b	3.1506	v	1.77e13		7.90e-02
Ar	18 1 3	c	2.9875	v	7.22e12		2.90e-02
Ar	18 1 4	d	2.9176	v	3.63e12		1.39e-02
Ar	18 1 5	e	2.8810	v	2.09e12		7.80e-03
Ar	18 1 6	rrc	2.80113	m	0.		0.

Ar	18 2 1	f	3.99415	m	0.		0.
Ar	18 2 2	i=xy	3.96762	m	0.		0.
Ar	18 2 3	r	3.9488	v	1.11e14		7.75e-01
Ar	18 2 4	b	3.3654	v	3.04e13		1.55e-01
Ar	18 2 5	c	3.1996	v	1.24e13		5.73e-02
Ar	18 2 6	d	3.1281	v	6.27e12		2.76e-02
Ar	18 2 7	e	3.0950	v	3.60e12		1.55e-02
Ar	18 2 8	f	0.	?	0.		0.
Ar	18 2 9	rrc 	3.009	m	0.		0.

Ca	20 1 1	a	3.0203	v	1.01e14		4.16e-01
Ca	20 1 2	b	2.5494	v	2.70e13		7.90e-02
Ca	20 1 3	c	2.4174	v	1.10e13		2.90e-02
Ca	20 1 4	d	2.3609	v	5.54e12		1.39e-02
Ca	20 1 5	e	2.3313	v	3.19e12		7.80e-03
Ca	20 1 6	rrc	3.54830	m	0.		0.

Ca	20 2 1	f	3.21103	m	0.		0.
Ca	20 2 2	i=xy	3.19093	m	0.		0.
Ca	20 2 3	r	3.1772	v	1.72e14		7.82e-01
Ca	20 2 4	b	2.7054	v	4.71e13		1.55e-01
Ca	20 2 5	c	2.5714	v	1.93e13		5.75e-02
Ca	20 2 6	d	2.5138	v	9.75e12		2.77e-02
Ca	20 2 7	e	0.	?	0.		0.
Ca	20 2 8	f	0.	?	0.		0.
